What is your age?,"How many years of education have you completed? 
32,16,english,right,male,heterosexual,white,5,4,6,4,2,4,5,2,5,3,2,"1
(Strongly Disagree)
",4,3,4,14,14,"I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a high school team.,I've played on a college team.,I've played on a club team.",Competitive Summer League,Informally to teammates during timeouts or on the sidelines.,Both,40 yards or more,40 yards or more,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,Harder to answer with the person facing me,"Quicker to respond with the person facing away from me, overall faster to answer than the Ultimate task.",No,No,94955502,52817250,1
21,15,english,right,male,heterosexual,white,6,4,3,6,2,3,3,4,6,2,3,3,3,6,2,4,4,"I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played on a high school team.,I've played on a college team.",DI college team that can consistently make regionals but not make much noise once there,Informally to teammates during timeouts or on the sidelines.,Cutter,40 yards or more,20-40 yards,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Forehand / Backhand,"I visualized the direction the thrower would move to make the throw, or matched home and away visually. Fatigue was a bit difficult, as was visualizing something I hadn't had to in a little while when the thrower was facing a different direction than they had for a while.","When the person was facing away I matched left and right as expected; when facing toward, I matched opposites. No visualization involved in this task.",Nope,"This has been great procrastination from my studying, but it would've been more fun if I were actually playing ultimate.",37321852,55421948,2
31,19,english,right,female,heterosexual,white,"7
(Strongly Agree)
",5,4,6,"7
(Strongly Agree)
",2,"7
(Strongly Agree)
",4,6,6,"1
(Strongly Disagree)
","1
(Strongly Disagree)
",2,5,2,1,1,"I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.",UHLE,"No, not really.",Cutter,10-20 yards,10-20 yards,Cup,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,I know I got (at least) one wrong- not sure why but just clicked wrong button. ,imagining directions from perspective of someone looking at me is a little challenging,no,will you share the results with PADA when you're done?,79597991,55572456,2
18,12,english,right,male,heterosexual,white,6,2,5,"7
(Strongly Agree)
",4,4,"1
(Strongly Disagree)
",2,5,2,3,2,4,4,2,1,0,"I've played recreationally (pickup, with friends, at camp).,I've played on a college team.,I've played on a club team.","Club level, played in a few tournaments and faired decently well.  Placed on the B team on our college club team.","No, not really.",Cutter,20-40 yards,10-20 yards,Cup,Definitely yes,Moderately comfortable,Extremely comfortable,Right,Forehand / Backhand,The ultimate frisbee task questions were fairly simple to answer,I found it difficult at first to understand if the direction were telling me which way the person would move from my perspective or from their perspective.,No technical difficulties,"Once I grasped the concept of which direction I was supposed to put, it became more routine than intuition.",98946092,56499208,2
18,12,english,right,male,heterosexual,white,6,2,6,5,"1
(Strongly Disagree)
",3,5,2,4,2,5,2,4,3,3,3,3,"I've played on a high school team.,I've played on a college team.","High level D1 High School, PHUEL","Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.",Both,40 yards or more,40 yards or more,Cup,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,No they were all straight forward,The opposite direction was more confusing,No,No,42100979,56594642,2
32,18,english,right,male,heterosexual,"hisp,white",6,3,3,5,6,2,5,"1
(Strongly Disagree)
",6,3,4,"1
(Strongly Disagree)
",2,4,"1
(Strongly Disagree)
",14,11,"I've played recreationally (pickup, with friends, at camp).,I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.",Regionals level club team,"I coach a high school, college, club, or professional team.",Both,20-40 yards,40 yards or more,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,"Regardless of force lingo or direction, felt like the perspective was still stationary",Felt like the directional arrows were backwards and perspective kept changing,No,"In my experience, ultimate players are intelligent people with really low sports IQs with some exceptions",63699797,58799837,2
20,13,english,right,male,heterosexual,black/afri-amer,5,6,6,6,"7
(Strongly Agree)
",2,5,2,4,3,2,"1
(Strongly Disagree)
",2,6,2,3,3,"I've played ultimate frisbee in casual settings, but never on an organized team.,I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played on a high school team.,I've played on a college team.",D1 college,"Informally to teammates during timeouts or on the sidelines.,I've taught a clinic to players in middle school or younger.,I've taught a clinic to players in high school or above.",Both,40 yards or more,40 yards or more,Deep Deep,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,"no, just standard practice","yes, directions when the dude was on the other side was difficult",nope,differentiating home from away seemed much faster than forehand and backhand,38833485,58839785,2
57,18,not english,right,female,heterosexual,asian,6,3,6,6,"7
(Strongly Agree)
",2,"7
(Strongly Agree)
","1
(Strongly Disagree)
","7
(Strongly Agree)
",3,4,"1
(Strongly Disagree)
",2,5,2,19,17,"I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.,I've played in a competitive recreational league.",FPSL,"Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.,I've taught a clinic to players in middle school or younger.,I've taught a clinic to players in high school or above.,I coach a high school, college, club, or professional team.",Both,40 yards or more,20-40 yards,Anywhere,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Forehand / Backhand,Ok. Not really,got turned around on a couple,after getting the codes the page is blank.  Not sure what to do at that point.,,31598815,60510916,1
37,18,english,right,female,heterosexual,white,3,5,5,6,4,5,5,3,5,5,5,3,5,5,3,17,8,"I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.","consistent, midrange player-not a liability, not a huge asset. Good at D",Informally to teammates during timeouts or on the sidelines.,Cutter,10-20 yards,10-20 yards,Cup,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Forehand / Backhand,"during the frisbee questions I was aware of more implications. I visualized defenders and open space, not just the person with the disc","I was trying to go too fast. I would recognize when I would say ""right"" in my head, my right hand hit that key, even when that wasn't the answer I wanted. there were several times when I immediately knew I hadn't hit what I wanted. ",no,,15016853,61216562,2
23,16,english,right,male,heterosexual,white,6,4,5,6,5,2,4,3,4,2,4,2,4,5,2,5,5,"I've played ultimate frisbee in casual settings, but never on an organized team.,I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.",FPSL,I've captained a recreational team.,Cutter,20-40 yards,20-40 yards,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,,messed up once or twice because I was going rto fast but then tried to correct myself by hitting the correct one as fast as I could ,Harder than the frisbee had a slower more confused time when the person was facing me,no,no,2987802,61853264,1
26,17,english,right,male,heterosexual,asian,"7
(Strongly Agree)
",2,5,"7
(Strongly Agree)
","7
(Strongly Agree)
","1
(Strongly Disagree)
",6,"1
(Strongly Disagree)
","7
(Strongly Agree)
","1
(Strongly Disagree)
",3,"1
(Strongly Disagree)
","1
(Strongly Disagree)
",5,"1
(Strongly Disagree)
",1,1,"I've played recreationally (pickup, with friends, at camp).,I've played in a competitive recreational league.",Fall League,"No, not really.",Cutter,20-40 yards,20-40 yards,Wing,Definitely yes,Extremely comfortable,Moderately comfortable,Right,Home / Away,No,No,No,No,54395469,62228828,1
19,13,not english,not right,male,heterosexual,asian,5,4,5,5,4,4,3,2,5,5,4,2,5,5,2,4,4,"I've played ultimate frisbee in casual settings, but never on an organized team.,I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a high school team.,I've played on a college team.",3rd worst guy on a FPSL team,"No, not really.",Both,40 yards or more,40 yards or more,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,Looked at what hand the disc was in if flick/backhand. Looked at bags for home/away. Fairly easy,"When facing forward, it seemed straight forward. Facing toward me it was confusing until I realized it was just opposite.",No,No,83146145,63506070,1
29,20,english,right,male,heterosexual,white,"7
(Strongly Agree)
",2,6,"7
(Strongly Agree)
","7
(Strongly Agree)
","1
(Strongly Disagree)
","7
(Strongly Agree)
",2,"7
(Strongly Agree)
","1
(Strongly Disagree)
",2,"1
(Strongly Disagree)
","1
(Strongly Disagree)
","7
(Strongly Agree)
","1
(Strongly Disagree)
",6,6,"I've played ultimate frisbee in casual settings, but never on an organized team.,I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a high school team.,I've played on a college team.,I've played on a club team.",Regionals level club team,"Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.",Cutter,40 yards or more,20-40 yards,Deep Deep,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,"Home/Away was easy because you just have to enter the direction of the stuff on the side of the field. I realized about 15 examples in that forehand/backhand is also easy because forehand was the held-frisbee-side and backhand was the non-held-frisbee-side. Before that, I was picturing that person throwing, then answering. ","Again, home/away is easy because you have an explicit direction that requires little processing. For right and left I just thought ""near is regular, far is reversed"" referring to the location of the figure. ",No,"I accidentally entered my name instead of my ID number for the first task, but added both for the second task so you can hopefully edit that field to make it correct. ",29114940,63854690,1
26,16,english,right,female,bisexual,white,3,3,4,3,2,5,4,5,3,6,3,5,4,2,5,7,7,"I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a college team.",FPSL,"I coach a high school, college, club, or professional team.",Cutter,10-20 yards,10-20 yards,Wing,Definitely yes,Slightly comfortable,Extremely comfortable,Right,Forehand / Backhand,Good brain exercise... definitely did not feel confident during it.,Less difficult than the Ultimate Frisbee task,,,3249671,64024983,1
19,15,english,right,male,heterosexual,white,5,5,6,5,"1
(Strongly Disagree)
",3,5,2,5,3,3,4,3,6,6,5,5,"I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a high school team.,I've played on a college team.,I've played on a club team.",Mid level club,Informally to teammates during timeouts or on the sidelines.,Handler,40 yards or more,40 yards or more,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,they were relatively easy,some of them took more thought than others,nope,the frisbee related ones were much easier and i feel i did far better on those,32233412,64490590,2
33,20,english,right,male,heterosexual,white,6,3,6,"7
(Strongly Agree)
",6,"1
(Strongly Disagree)
","7
(Strongly Agree)
",2,"7
(Strongly Agree)
",2,2,6,2,5,6,1,1,"I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played in a competitive recreational league.",UHLE,"No, not really.",Cutter,20-40 yards,10-20 yards,Cup,Definitely yes,Moderately comfortable,Moderately comfortable,Right,Home / Away,"Looking at side of disc/empty hand for forehand/backhand.  No, simple graphics were sufficient","Thinking about where the person would end up.  No, simple graphics worked well.",No,,62026655,64824344,2
58,19,english,right,male,heterosexual,white,5,4,5,"7
(Strongly Agree)
",6,2,"7
(Strongly Agree)
",3,"7
(Strongly Agree)
",3,3,"1
(Strongly Disagree)
",2,6,2,20,20,"I've played ultimate frisbee in casual settings, but never on an organized team.,I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.",Fall League,"Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.",Cutter,10-20 yards,20-40 yards,Deep Deep,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Forehand / Backhand,when thrower was facing away from me,,,,60325105,67096388,2
26,18,english,right,male,heterosexual,white,5,6,"7
(Strongly Agree)
",3,"7
(Strongly Agree)
",5,6,2,6,6,5,5,2,"1
(Strongly Disagree)
",6,5,5,"I've played ultimate frisbee in casual settings, but never on an organized team.,I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a college team.",D-line at a good college or poor club,"No, not really.",Cutter,40 yards or more,40 yards or more,Short Deep,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,"because forehand/backhand is usually called while on defense, it was hard when the figure was looking away from me.",home/away when looking at me. Couldn't get the rules right.,no,friz,12687043,68116738,2
28,18,english,right,male,heterosexual,do not wish to say,5,2,6,6,5,2,"7
(Strongly Agree)
","1
(Strongly Disagree)
","7
(Strongly Agree)
",2,2,"1
(Strongly Disagree)
",2,5,2,9,9,"I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a competitive recreational league.,I've played on a college team.",FPSL,"Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.,I've taught a clinic to players in middle school or younger.",Both,40 yards or more,20-40 yards,Short Deep,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,No.,No.,no.,No.,25481565,72765732,2
32,21,english,right,female,bisexual,hisp,6,2,2,6,2,3,6,3,6,2,2,"1
(Strongly Disagree)
","1
(Strongly Disagree)
",5,"1
(Strongly Disagree)
",17,17,"I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a high school team.,I've played on a college team.,I've played on a club team.",FPSL or Winter League,"Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.,I've taught a clinic to players in middle school or younger.",Cutter,20-40 yards,20-40 yards,Short Deep,Definitely yes,Extremely comfortable,Extremely comfortable,Right,,Mostly just stared at where the disc was and looked at the home sideline stuff out of my peripheral vision,"Thought it was a bit easier, stared mostly at the directions and looked at the person's position (Close to me or far) and the house out of peripheral",no,,31776161,78764541,1
28,16,english,right,male,heterosexual,white,6,2,5,"7
(Strongly Agree)
","7
(Strongly Agree)
",2,"7
(Strongly Agree)
","1
(Strongly Disagree)
","7
(Strongly Agree)
",2,2,"1
(Strongly Disagree)
","1
(Strongly Disagree)
",6,2,9,9,"I've played recreationally (pickup, with friends, at camp).,I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.,I've played on a professional team.",National level club play,"Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.,I've taught a clinic to players in middle school or younger.,I've taught a clinic to players in high school or above.,I coach a high school, college, club, or professional team.",Cutter,40 yards or more,40 yards or more,Anywhere,Definitely yes,Extremely comfortable,Extremely comfortable,Right,,"I got them all correct. I think I was slowest when identifying force backhands. Maybe because the sick figure was holding the disc on the flick side, maybe because forcing backhand is less common.",Fairly certain that I got them all correct. At first I wanted to always press the arrow key of the way the stick figure should turn from their perspective. Had to think about the question as which side are they going to to help me get away from that.,No.,No.,97958950,80113241,2
29,16,english,right,male,heterosexual,"hisp,white",5,6,5,5,6,2,6,3,5,2,2,2,2,3,3,13,13,"I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a high school team.,I've played on a college team.,I've played on a club team.,I've played on a professional team.",Elite club,"I've captained a recreational team.,I've taught a clinic to players in high school or above.,I coach a high school, college, club, or professional team.",Handler,40 yards or more,40 yards or more,Short Deep,Definitely yes,Extremely comfortable,Extremely comfortable,Right,,"Very well, not difficult","Had trouble with left/right when person was facing towards me, versus pressing left/right key quickly",No,,50839546,81058337,2
27,16,english,not right,male,heterosexual,white,5,5,2,4,3,4,5,4,5,4,4,5,2,3,4,9,8,"I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.",non-elite club,I've captained a recreational team.,Both,40 yards or more,40 yards or more,Cup,Definitely yes,Extremely comfortable,Moderately comfortable,Left,Home / Away,"there was too much repetition of questions (forehand, forehand, forehand, home, home, home)",all was fine,nope,,15578091,82427599,2
30,18,english,right,female,heterosexual,white,6,2,3,3,"1
(Strongly Disagree)
",3,4,4,5,2,4,5,"7
(Strongly Agree)
",6,3,16,16,"I've played ultimate frisbee in casual settings, but never on an organized team.,I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a high school team.,I've played on a college team.,I've played on a club team.",Club level offensive handler,"Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.,I've taught a clinic to players in high school or above.,I coach a high school, college, club, or professional team.",Handler,20-40 yards,20-40 yards,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,"When the person was facing towards you, it was harder to figure out if it was backhand or forehand.",Left and right is always difficult for me.,nope,nope,15949615,86763169,2
28,18,english,right,male,heterosexual,white,6,"1
(Strongly Disagree)
","7
(Strongly Agree)
",6,2,2,"7
(Strongly Agree)
","1
(Strongly Disagree)
","7
(Strongly Agree)
",2,"1
(Strongly Disagree)
","1
(Strongly Disagree)
",2,6,2,10,10,"I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a college team.","I played at Carleton College on the Gods of Plastic. After graduating, I've played in competitive and casual recreational leagues in NYC and Philadelphia, including Manhattan Ultimate Disc and PADA. I am currently playing fall league with PADA.","Informally to teammates during timeouts or on the sidelines.,I've taught a clinic to players in middle school or younger.",Cutter,40 yards or more,40 yards or more,Cup,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Forehand / Backhand,No,No. I answered one question incorrectly early on.,No,No,16753163,90544723,1
18,13,english,right,male,heterosexual,asian,4,3,5,4,2,3,3,5,3,6,5,4,"7
(Strongly Agree)
","1
(Strongly Disagree)
",2,1,1,"I've played recreationally (pickup, with friends, at camp).,I've played in a competitive recreational league.",A good B team player in the Boston Area,Informally to teammates during timeouts or on the sidelines.,Handler,20-40 yards,20-40 yards,Cup,Definitely yes,Slightly comfortable,Extremely comfortable,Right,Forehand / Backhand,"ok, got better as it went","ok, got better as it went",bored by the time i got to the road intersection task,,57792262,91021895,1
27,21,english,not right,female,homosexual,white,5,2,6,6,5,3,2,2,4,3,2,"1
(Strongly Disagree)
",4,5,2,4,4,"I've played ultimate frisbee in casual settings, but never on an organized team.,I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.",Contribute to a pro-flight level club team,I've captained a recreational team.,Both,40 yards or more,20-40 yards,Deep Deep,Definitely yes,Extremely comfortable,Slightly uncomfortable,Left,,"I got two wrong, so I did ok. Forcing backhand and flick are tougher to figure out as a lefty","No those were easy, although I am pretty sure I still got two wrong",I pressed the wrong button twice in the Road Intersection task,,4640342,92676929,2
20,14,english,right,female,heterosexual,"hisp,white",4,3,5,5,4,4,4,4,4,4,5,4,4,5,6,2,2,"I've played ultimate frisbee in casual settings, but never on an organized team.,I've played recreationally (pickup, with friends, at camp).,I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.",I'm on a nationally competitive club team (AMP) and am on the USA U24 Mixed National Team,I've captained a recreational team.,Both,40 yards or more,40 yards or more,Short Deep,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Forehand / Backhand,no,the right/left when the figure was facing you,no,no,54174712,95173719,1
29,15,english,right,female,heterosexual,white,"7
(Strongly Agree)
",2,4,6,6,2,"7
(Strongly Agree)
",2,"7
(Strongly Agree)
",3,5,"1
(Strongly Disagree)
",2,4,5,5,5,"I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.",Contribute to FPSL team (usually a request/assignment),"No, not really.,Informally to teammates during timeouts or on the sidelines.",Cutter,5-10 yards,10-20 yards,Cup,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Forehand / Backhand,Only thinking about the person and which way was R/L from their view. But in general not that difficult. ,"Tougher than the field quesitons, but not too much more difficult. ",No,"I think I input the participant # incorrectly the first time. If you see ""Christine Belzyt"" that's linked to this survey. Sorry if I messed it up. ",75650442,97924102,1
22,16,english,right,female,heterosexual,white,5,5,3,3,"1
(Strongly Disagree)
",5,"1
(Strongly Disagree)
",3,4,5,3,3,6,3,5,9,9,"I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a high school team.,I've played on a college team.,I've played on a club team.",nationals club,"Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.,I've taught a clinic to players in middle school or younger.,I've taught a clinic to players in high school or above.",Cutter,40 yards or more,20-40 yards,Short Deep,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Forehand / Backhand,easy,harder than part 2,no,n/a,49041908,98888826,1
28,17,english,right,male,heterosexual,white,5,4,6,5,3,4,6,3,6,4,3,3,3,4,3,10,9,"I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.,I've played on a professional team.",Club,"Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.,I've taught a clinic to players in middle school or younger.,I've taught a clinic to players in high school or above.",Cutter,40 yards or more,40 yards or more,Cup,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,No,No,No,No,97139836,99990726,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
